Schema Type,Use Case,Required Properties,Optional Properties,Status,Keywords
Article,Blog posts news articles,headline author datePublished,"image description publisher",active,"article blog post news content journalism"
NewsArticle,News content,headline author datePublished dateModified,"image section",active,"news journalism breaking story media"
BlogPosting,Blog content,headline author datePublished,"image keywords articleBody",active,"blog post blogging content writing"
Product,Product pages,name image description,"offers brand review aggregateRating gtin mpn",active,"product ecommerce shopping item merchandise"
ProductGroup,Product variants,name description productGroupID,"hasVariant variesBy",active,"product variant size color option group"
Offer,Product pricing,price priceCurrency availability,"priceValidUntil seller itemCondition",active,"offer price deal sale discount"
AggregateRating,Product reviews,ratingValue reviewCount,"bestRating worstRating",active,"rating review stars score aggregate"
Review,Individual review,author reviewRating reviewBody,"datePublished itemReviewed",active,"review rating comment feedback testimonial"
Organization,Business info,name,"url logo address contactPoint sameAs",active,"organization business company brand corporate"
LocalBusiness,Local companies,name address,"telephone openingHours priceRange geo",active,"local business store location shop"
Person,Author profiles,name,"url image jobTitle sameAs alumniOf",active,"person author profile bio individual"
WebSite,Homepage,name url,"potentialAction searchAction",active,"website site homepage domain"
WebPage,Web pages,name url,"breadcrumb speakable",active,"webpage page document html"
BreadcrumbList,Navigation,itemListElement,"name item position",active,"breadcrumb navigation hierarchy path trail"
VideoObject,Video content,name description thumbnailUrl uploadDate,"duration contentUrl embedUrl",active,"video media clip youtube vimeo"
 ImageObject,Images,contentUrl,"caption creator license",active,"image photo picture graphic visual"
FAQ,FAQ pages - restricted,mainEntity Question acceptedAnswer,"name text",restricted,"faq question answer help support"
HowTo,Step instructions - restricted,name step,"totalTime tool supply",restricted,"howto tutorial guide instructions steps"
Event,Events,name startDate location,"endDate description offers",active,"event conference webinar meetup gathering"
Recipe,Recipe content,name image recipeIngredient recipeInstructions,"cookTime nutrition aggregateRating",active,"recipe cooking food cuisine dish"
Course,Online courses,name description provider,"hasCourseInstance courseCode educationalCredentialAwarded",active,"course education learning training class"
JobPosting,Job listings,title description hiringOrganization jobLocation,"baseSalary datePosted validThrough",active,"job posting employment career hiring vacancy"
SoftwareApplication,Software/Apps,name applicationCategory offers,"operatingSystem screenshot aggregateRating",active,"software app application program tool"
Book,Books,name author isbn,"bookFormat numberOfPages publisher",active,"book ebook publication reading literature"
Movie,Movies,,entertainment,,film cinema"
MusicRecording,Music,byArtist name duration,"inAlbum isrcCode",active,"music song track audio recording"
Restaurant,Restaurants,name address servesCuisine,"priceRange openingHours acceptsReservations",active,"restaurant dining food eatery cuisine"
Hotel,Hotels,name address,"starRating priceRange amenityFeature",active,"hotel accommodation lodging stay booking"
Service,Services offered,name provider serviceType,"areaServed offers",active,"service professional consulting expertise"
MedicalCondition,Health conditions - YMYL,name,"associatedAnatomy cause riskFactor signOrSymptom",active,"medical health condition disease illness"
SearchAction,Site search,target query-input,"",active,"search find query lookup navigate"
SiteNavigationElement,Navigation menus,name url,"",active,"navigation menu nav link sitemap"
SpecialAnnouncement,COVID/Crisis - deprecated,text category datePosted,"quarantineGuidelines diseaseSpreadStatistics",deprecated,"announcement covid crisis emergency special"
ClaimReview,Fact checking,claimReviewed itemReviewed reviewRating author,"datePublished url",active,"factcheck claim review verification truth"
